term                    words
0                         0
42                        0
-1                        0
:ok                       0
:a_longer_atom_here       0
[]                        0
{}                        0
self()                    0
3.14                      2
0.0                       2
make_ref()                3
fn x -> x end             2
{:a}                      2
{:a, :b}                  3
{:a, :b, :c}              4
[:a]                      2
[:a, :b]                  4
[:a, :b, :c]              6
%{}                       3
%{a: 1}                   6
<<>>                      2
<<1, 2, 3>>               3
